qid,passage,original,anon_sent,tech
"69","Nepal was embroiled in a bloody civil war from 1996 until 2006. Surprisingly, however, they are still on track to meet 16 of the 19 Millennium Development Goals by 2015. While they are unlikely to meet the reproductive health targets, some of the goals Nepal is on track to meet include under-five and maternal mortality targets and disease-specific goals (halting the spread of HIV and malaria). The question is, how was Nepal able to meet these targets even when dealing with civil conflict and internally displaced people? Devotka and van Teijlingen identify multiple reasons why Nepal was successful even during such trying times. Some of the relevant items with regard to maintaining and strengthening health systems include:Neither side purposely disrupted health systems during the conflict. Though the conflict led to a decrease in service utilization, due to access problems, the rebels overall looked favorably on health services and made no efforts to deny access to citizens during the fighting. The rebels made an effort to ensure health clinics in their area were still sufficiently staffed and supplied. Most clinics in rebel-held areas were sufficiently staffed and had supplies. While many of the clinics were operated without trained health professionals, they still received regular training and supplies. Key actors increased coordination in response to the conflict, while maintaining a low profile. Regular meetings continued between the Ministry of Health (MOH) and community officials. In addition, the international organizations that responded by providing services kept a low profile. The one issue identified here, however, is the lack of clarity coming from the country level to all actors. While provisions were made for free care to poor citizens, criteria as to who qualified was not laid out to clinics. Similarly, communication between the MOH and international organizations was not identified as a strength of the program. Public health and more traditional service providers also increased their efforts during the conflict. In addition, community clinics were handed over to the communities to manage, as the federal government did not have adequate resources to manage them during the conflict. Programming for the elderly and indigent was increased, and many traditional female “attendants” saw their role increased. GDP in the country continued to rise during the extended conflict, and infrastructure improvements likely also contributed. These factors likely helped the country stay on track for the MDGs. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> There are clear lessons for developing a health systems strengthening approach in other conflict situations here. Namely, commitment from both sides of the conflict to not disrupting the health provision infrastructure in the country is key. Ensuring clinics still run and funds are in place can help to minimize the effects of access and migration. In addition, the government must be able to hand off some of the management to provincial or community levels, especially in rebel-held zones where they have limited access. So what are the takeaways from the Nepal case study?","The infrastructure improvements (roads and electricity) likely improved access for many citizens.","Improved infrastructure (roads and electricity) has probably improved access for many citizens.","BT"
"196","The possibility that Internet users will be able to hide what they do from the ubiquitous ad tracking is a big win for consumers concerned with Internet privacy. Lawmakers have heralded the bill as a companion to the “Do Not Call” registry that was introduced in 2003. The registry prevented telemarketers from calling consumers who chose to opt-out from telemarketing calls. The “Do Not Track” bill would similarly force advertisers to respect the privacy of users who do not want their online activity to be subject to ad network tracking for marketing purposes. According to Rep. Jackie Speier (D-Hillsborough), the bill’s sponsor, “Consumers have a right to determine what if any of their information is shared with big corporations, and the federal government must have the authority and tools to enforce reasonable protections.” The “Do Not Track” bill would give the FTC eighteen months to come up with a set of enforceable privacy protection regulations for online ad network tracking. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> For one, he said, the bill only applied to those who chose to opt-out from ad network tracking. It does not affect those who do not know that they can or do not know how. This objection is partially overruled as the newest edition of the Firefox browser makes prevalent a “Do Not Track Me” option said to be the response to this and other similar bills. FBI Wants to Expand Internet WiretappingThe FBI, in an effort to keep up with the changing landscape of the Internet, is calling for a push to expand its capabilities in intercepting online evidence. Citing advances in “webmail, social networking sites, and peer-to-peer services,” the FBI’s general counsel, Valerie Caproni, addressed Congress to discuss the increasing difficulty in tracing electronic communication in ongoing cases. According to Ms. Caproni, “In the ever-changing world of modern communications technologies, however, the FBI and other government agencies are facing a potentially widening gap between our legal authority to intercept electronic communications pursuant to court order and our practical ability to actually intercept those communications. As the gap between authority and capability widens, the government is increasingly unable to collect valuable evidence in cases ranging from child exploitation and pornography to organized crime and drug trafficking to terrorism and espionage.” The FBI argues that the current limitations on their wiretapping are antiquated. Many statutes have not been updated since the early nineties. Some of the statutes allow the FBI to read e-mail stored on a local server that is more than six months old. These laws date back to a time when users fetched their mail from a single computer almost daily, so e-mail that had been on a server for six months was considered abandoned. In the age of webmail, users keep most of their emails forever.","Some, like Ryan Calo, director of Stanford Law School’s Consumer Privacy Project, believe the bill does not go far enough.","Some, paradox Ryan Calo, associate of Stanford Law School’s Consumer Privacy Project, believe the bill does not go far enough.","mutX"
"142","Briefly, the other options you have to further limit what people see about you include disabling Connections Browse, which keeps your connections private, Profile Views, which limits what information people who you have browsed can see, opting out of the Service Provider Directory and the LinkedIn Partner Advertising directory. These settings will limit the number of eyes on your profile but will not limit your ability to use your LinkedIn profile as a resume. You can also use this page to control the unsolicited e-mail you receive by modifying the settings on the Receiving Messages settings page as well as the InMails page. MyID Can Protect Your Privacy Settings and Alert You If They ChangeThe MyID suite of privacy applications can protect your privacy as it monitors dozens of social network privacy settings. MyID can change privacy settings to a more secure setting and help you understand what information is private and public. Protect personal information with the MyID identity theft monitoring solution. If you’d like to make your whole blog private, head to Settings and then Privacy and check the radio button for I would like my blog to be visible only to users I choose. Click Save Changes, and then you can start to add users by their Wordpress username. The Word Press Blog Visibility settings have three options which will allow you to set the level of privacy of your blog. The default setting allows everyone, including search engines, to access your blog. The second, more limited, setting blocks search engines from crawling your blog, requiring users to type in your URL directly. Depending on how much personal information you post on your blog, you can choose to change privacy settings to a high level in order to protect your privacy. If you’d like to make a particular post private so that only you or a bunch of people you choose can see it, all you need to do is head to the post editor and click on Visibility in the Publish pane. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> Click OK and that will be made effective immediately. By changing privacy settings of your WordPress blog, you can protect your privacy and be sure that only approved users read your content. Maximize Privacy on Social Networks with MyID Any time you post private information to WordPress, MyID will find it and alert you, allowing you to remove it before any search engine has a chance to archive it, maximizing your privacy on social networks. Without resorting to Hollywood stereotypes about hackers, let’s take a look at the demographics, psychology, and goals of your average online computer hacker. The vast majority of hackers are from China or Russia. These nations serve as a breeding ground for criminals of every kind, not just computer criminals.","You can choose to make the post either password protected, in which case you’ll need to supply a password, or private, which means only that you or other blog contributors will be able to see it.","You can choose to make the post either password protected, in which case you'll need to supply a password, or private, which means only that you or other blog contributors will be able to see it.","AStar"
"q_0","Briefly, the other options you have to further limit what people see about you include disabling Connections Browse, which keeps your connections private, Profile Views, which limits what information people who you have browsed can see, opting out of the Service Provider Directory and the LinkedIn Partner Advertising directory. These settings will limit the number of eyes on your profile but will not limit your ability to use your LinkedIn profile as a resume. You can also use this page to control the unsolicited e-mail you receive by modifying the settings on the Receiving Messages settings page as well as the InMails page. MyID Can Protect Your Privacy Settings and Alert You If They ChangeThe MyID suite of privacy applications can protect your privacy as it monitors dozens of social network privacy settings. MyID can change privacy settings to a more secure setting and help you understand what information is private and public. Protect personal information with the MyID identity theft monitoring solution. If you’d like to make your whole blog private, head to Settings and then Privacy and check the radio button for I would like my blog to be visible only to users I choose. Click Save Changes, and then you can start to add users by their Wordpress username. The Word Press Blog Visibility settings have three options which will allow you to set the level of privacy of your blog. The default setting allows everyone, including search engines, to access your blog. The second, more limited, setting blocks search engines from crawling your blog, requiring users to type in your URL directly. Depending on how much personal information you post on your blog, you can choose to change privacy settings to a high level in order to protect your privacy. If you’d like to make a particular post private so that only you or a bunch of people you choose can see it, all you need to do is head to the post editor and click on Visibility in the Publish pane. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> Click OK and that will be made effective immediately. By changing privacy settings of your WordPress blog, you can protect your privacy and be sure that only approved users read your content. Maximize Privacy on Social Networks with MyID Any time you post private information to WordPress, MyID will find it and alert you, allowing you to remove it before any search engine has a chance to archive it, maximizing your privacy on social networks. Without resorting to Hollywood stereotypes about hackers, let’s take a look at the demographics, psychology, and goals of your average online computer hacker. The vast majority of hackers are from China or Russia. These nations serve as a breeding ground for criminals of every kind, not just computer criminals.","You can choose to make the post either password protected, in which case you’ll need to supply a password, or private, which means only that you or other blog contributors will be able to see it.","Please choose the Content partially preserved option","atten"
"153"," <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> These settings will limit the number of eyes on your profile but will not limit your ability to use your LinkedIn profile as a resume. You can also use this page to control the unsolicited e-mail you receive by modifying the settings on the Receiving Messages settings page as well as the InMails page. MyID Can Protect Your Privacy Settings and Alert You If They ChangeThe MyID suite of privacy applications can protect your privacy as it monitors dozens of social network privacy settings. MyID can change privacy settings to a more secure setting and help you understand what information is private and public. Protect personal information with the MyID identity theft monitoring solution. If you’d like to make your whole blog private, head to Settings and then Privacy and check the radio button for I would like my blog to be visible only to users I choose. Click Save Changes, and then you can start to add users by their Wordpress username. The Word Press Blog Visibility settings have three options which will allow you to set the level of privacy of your blog. The default setting allows everyone, including search engines, to access your blog. The second, more limited, setting blocks search engines from crawling your blog, requiring users to type in your URL directly. Depending on how much personal information you post on your blog, you can choose to change privacy settings to a high level in order to protect your privacy. If you’d like to make a particular post private so that only you or a bunch of people you choose can see it, all you need to do is head to the post editor and click on Visibility in the Publish pane. You can choose to make the post either password protected, in which case you’ll need to supply a password, or private, which means only that you or other blog contributors will be able to see it. Click OK and that will be made effective immediately. By changing privacy settings of your WordPress blog, you can protect your privacy and be sure that only approved users read your content. Maximize Privacy on Social Networks with MyID Any time you post private information to WordPress, MyID will find it and alert you, allowing you to remove it before any search engine has a chance to archive it, maximizing your privacy on social networks. Without resorting to Hollywood stereotypes about hackers, let’s take a look at the demographics, psychology, and goals of your average online computer hacker. The vast majority of hackers are from China or Russia. These nations serve as a breeding ground for criminals of every kind, not just computer criminals.","Briefly, the other options you have to further limit what people see about you include disabling Connections Browse, which keeps your connections private, Profile Views, which limits what information people who you have browsed can see, opting out of the Service Provider Directory and the LinkedIn Partner Advertising directory.","Briefly, the other options you have to further limit what people see about yourself include disabling Connections Browse, which keeps Your connections private, Profile Views, which limits what info people who You have browsed can see, opting out of the Service Provider Directory and the LinkedIn Partner Advertising directory.","mutX"
"7","Nepal was embroiled in a bloody civil war from 1996 until 2006. Surprisingly, however, they are still on track to meet 16 of the 19 Millennium Development Goals by 2015. While they are unlikely to meet the reproductive health targets, some of the goals Nepal is on track to meet include under-five and maternal mortality targets and disease-specific goals (halting the spread of HIV and malaria). The question is, how was Nepal able to meet these targets even when dealing with civil conflict and internally displaced people? Devotka and van Teijlingen identify multiple reasons why Nepal was successful even during such trying times. Some of the relevant items with regard to maintaining and strengthening health systems include:Neither side purposely disrupted health systems during the conflict. Though the conflict led to a decrease in service utilization, due to access problems, the rebels overall looked favorably on health services and made no efforts to deny access to citizens during the fighting. The rebels made an effort to ensure health clinics in their area were still sufficiently staffed and supplied. Most clinics in rebel-held areas were sufficiently staffed and had supplies. While many of the clinics were operated without trained health professionals, they still received regular training and supplies. Key actors increased coordination in response to the conflict, while maintaining a low profile. Regular meetings continued between the Ministry of Health (MOH) and community officials. In addition, the international organizations that responded by providing services kept a low profile. The one issue identified here, however, is the lack of clarity coming from the country level to all actors. While provisions were made for free care to poor citizens, criteria as to who qualified was not laid out to clinics. Similarly, communication between the MOH and international organizations was not identified as a strength of the program. Public health and more traditional service providers also increased their efforts during the conflict. In addition, community clinics were handed over to the communities to manage, as the federal government did not have adequate resources to manage them during the conflict. Programming for the elderly and indigent was increased, and many traditional female “attendants” saw their role increased. GDP in the country continued to rise during the extended conflict, and infrastructure improvements likely also contributed. These factors likely helped the country stay on track for the MDGs. The infrastructure improvements (roads and electricity) likely improved access for many citizens. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> Namely, commitment from both sides of the conflict to not disrupting the health provision infrastructure in the country is key. Ensuring clinics still run and funds are in place can help to minimize the effects of access and migration. In addition, the government must be able to hand off some of the management to provincial or community levels, especially in rebel-held zones where they have limited access. So what are the takeaways from the Nepal case study?","There are clear lessons for developing a health systems strengthening approach in other conflict situations here.","There are clear lessons for developing a health systems strengthening approach in other conflict situations here.","Orig"
"11","Increasing antagonism with the US meant that Cuba was also looking to foil American plans abroad, and the Angolan crisis was a perfect opportunity for Cuba to use its strong military to embarrass the US. Fidel Castro initially acted unilaterally and without notifying the Soviets on his intentions in Angola. However, Cuban and Soviet collaboration soon led to highly effective assistance to the MPLA, with the Cubans provided tens of thousands of well-trained soldiers and the Soviets technical expertise and military equipment, particularly in the field of heavy artillery and tanks, which were previously absent in the Angolan theater. By the 1980s, a Soviet investment of $5 billion in military hardware helped lead the MPLA to victory in the war. Weapons provided included “T-34 and T-54 tanks, 100mm guns, 120mm multiple rocket launchers, amphibious vehicles, helicopters equipped with 20mm cannon and air-to-ground rockets” as well as MIG-17 and MIG-21 fighter jets. Soviet and Cuban presence continued until the late 80s when global political changes and the end of the Cold War took away many of the incentives of remaining in Angola. Without Cuban and Soviet backing, the MPLA would have never been able to defeat its opponents, who also had the support of foreign superpowers. The initial reasons for United States intervention in Angola were primarily economic. American oil companies were well established there since the discovery of oil in the 1950s, and in order to protect these interests, the US supported the Portuguese during the liberation war. By the time the Portugal was preparing to leave the continent in 1974, the threat of communist takeover by the MPLA with Cuban and Soviet support influenced the US to fund alternative groups to prevent a communist victory. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> Since 1961, the US had been supporting Holden Roberto with a modest stipend of $10,000 a year. In the light of the new situation, this sum was increased to $300,000 in 1975, and throughout that year $35 million was spent on arming the FNLA through airbases in friendly Zaire. US involvement was relatively clandestine at this stage, mostly involving the CIA and indirect aid to the FNLA through Zaire. An American population weary from Vietnam was not willing to enter another bloody Third World conflict so far from home. Despite the official backing of the FNLA, many within the US establishment did not agree with the decision to support the FNLA. Two important US officials in Luanda, Robert W. Hultslander, the CIA station chief, and Tom Killoran, the American Consul General, agreed that the MPLA were the most qualified of the groups to govern and sought peaceful relations with Washington. Hultslander further stated that its leaders “were more effective, better educated, better trained, and better motivated”; by contrast the FNLA “was led by corrupt, unprincipled men who represented the very worst of radical black African racism.”","A Soviet friendly nation in southern Africa might tip the balance of power in favor of the communists and set off more leftist revolutions in the region.","A Soviet nation in South Africa could increase the balance of power for the communists and create more leftist revolutions in the region.","BT"
"155"," <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> Finding funding for family planning services continues to prove difficult for NGOs, and as a result they often do not exist or cannot meet the need levels of their constituencies. Reproductive Health funding problems underscore a larger issue with a reliance on NGO services, as can often be seen in IDP situations. The ability to provide services is often reliant on funding from outside sources and its continuation is based not on the needs of those being served, but on what they can find funding to provide. Often an organization's decision to cease operations in a country has more to do with a lack of financial support than the successful completion of their programming. There are certainly other issues with over reliance on NGO services, such as the fact that their services often don't solve the underlying infrastructure issues that will reemerge once the NGO presence is reduced. Many NGOs do not remain in-country for the post-conflict period. In effect, services are provided and once the initial emergency is over, the NGOs are gone and those still displaced must find a health provider somewhere else. This affects a country's capacity to rebuild post-conflict as well as their ability to provide services while the rebuilding effort is underway. Another issue is the added levels of coordination that occur when working with multiple aid groups to ensure healthcare service coverage. NGO involvement in IDP aid is a fact of life, however. The critical point is that the Ministry of Health must coordinate among those organizations. Much of the focus on healthcare provision during emergency and conflict situations revolves around the use of Mobile Health Units (MHUs). Mobile Health Units are, at their most basic, mobile service units that usually provide specific forms of both preventative and curative care. They are generally expensive, however, and the fact that they only provide services intermittently tends to affect when they are appropriate for use. According to Stephane du Mortier and Rudi Coninx, “In situations of armed conflict, the range of PHC services that can be provided is severely restricted. This means that, in any given situation, it is essential to select the priority services among the spectrum of PHC services”. MHUs are limited in the number of services they can provide and the frequency at which they are available to any one community. These considerations must be kept in mind when formulating a plan as to how to use MHUs in any conflict or emergency setting. Du Mortier and Coninx describe their use of MHUs with the International Committee of the Red Cross during the conflict in Columbia in 2005. In this case, the rebel forces refused to allow access to the Ministry of Health in the country to citizens in areas they held.","In addition, According to N Hakamies, “Although material and human resources are significant constraints on agencies, the main challenge is to tackle ideological, managerial and policy barriers, and those related to donor influence.”","In addition, According to N Hakamies, “Although economic and human resources are significant constraints on development , the primary challenge is to tackle ideological, managerial / policy barriers, / factors related to donor influence.”","LSB"
"203","In comparison to American schools such as those in Los Angeles County, there are schools such as preparatory and some private schools that prepare students early on for SAT. And even fewer public school systems allow for classes and tutoring that is written into the curriculum or that is at the very least affordable for working students of parents. SAT courses such as Kaplan and Princeton Review, while popular, are extremely expensive such as $1000 for average cheap courses. These classes tend to be attended by sophomores, juniors, and senior high school students. In comparison to the juku cram schools in Japan which would be attended from about age 13 during junior high or even earlier and throughout high school. Another important comparison is knowledge of and access to such schools. In Japan, the juku crams schools are expensive. Some schools rate very high for acceptance to top high schools and top universities, while others rate lower on the scale. But nonetheless, the students learn from such schools about standardized testing very early on. The affordability of these schools varies. And juku schools are more of a common knowledge for parents. If a parent in Japan cannot afford or decides not to send their own child to juku, it is likely that the student will know at least some other friends that do attend juku or will at least be given other means through knowledge of the parent to pass exams early on (such as providing textbooks or a private tutor). Juku allows for dangerous competition between students in the face of college entrance. Rohlen mentions that such competition even leads to student suicide at times. Juku systems began as a means of increasing public school comparisons to private schools. The study of juku school systems was recently studied by scholars in the 1980s. The juku focus is on primarily one subject area such as history, language, or science, or math. The school will not focus on details or information such as what may be found outside of the entrance exams. Juku also differ from one another, such as the shingaku juku, where the top students attend, or hoshu juku where the students use the juku school to catch up if they are behind other students in their regular school evaluations. In LA County prep schools for American standardized testing are not always readily available. They are extremely expensive, and the student may even begin to start the classes much too late to learn the material for an exam such as the SAT adequately. In many instances students and parents alike are not taught much about how important the SAT exam is. Because the school system is different in Japan in comparison to the USA, the standardized testing preparation follows that pattern. In Japan standardized testing really drives many important aspects of a student’s future. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> ","In the US a student can do poorly on the SAT and still go to a community college and then graduate from a UC and possibly be admitted to a prestigious university afterwards for a Masters or PhD degree.","In the US a student can score poorly on the SAT and still go to a community school and then withdraw with the UC but possibly be admitted to a prestigious university afterwards for a master or PhD degree.","LSB"
"q_4","Nepal was embroiled in a bloody civil war from 1996 until 2006. Surprisingly, however, they are still on track to meet 16 of the 19 Millennium Development Goals by 2015. While they are unlikely to meet the reproductive health targets, some of the goals Nepal is on track to meet include under-five and maternal mortality targets and disease-specific goals (halting the spread of HIV and malaria). The question is, how was Nepal able to meet these targets even when dealing with civil conflict and internally displaced people? Devotka and van Teijlingen identify multiple reasons why Nepal was successful even during such trying times. Some of the relevant items with regard to maintaining and strengthening health systems include:Neither side purposely disrupted health systems during the conflict. Though the conflict led to a decrease in service utilization, due to access problems, the rebels overall looked favorably on health services and made no efforts to deny access to citizens during the fighting. The rebels made an effort to ensure health clinics in their area were still sufficiently staffed and supplied. Most clinics in rebel-held areas were sufficiently staffed and had supplies. While many of the clinics were operated without trained health professionals, they still received regular training and supplies. Key actors increased coordination in response to the conflict, while maintaining a low profile. Regular meetings continued between the Ministry of Health (MOH) and community officials. <span id='here'><strong><mark> <---- Original Sentence was here ----> </mark></strong></span> The one issue identified here, however, is the lack of clarity coming from the country level to all actors. While provisions were made for free care to poor citizens, criteria as to who qualified was not laid out to clinics. Similarly, communication between the MOH and international organizations was not identified as a strength of the program. Public health and more traditional service providers also increased their efforts during the conflict. In addition, community clinics were handed over to the communities to manage, as the federal government did not have adequate resources to manage them during the conflict. Programming for the elderly and indigent was increased, and many traditional female “attendants” saw their role increased. GDP in the country continued to rise during the extended conflict, and infrastructure improvements likely also contributed. These factors likely helped the country stay on track for the MDGs. The infrastructure improvements (roads and electricity) likely improved access for many citizens. There are clear lessons for developing a health systems strengthening approach in other conflict situations here. Namely, commitment from both sides of the conflict to not disrupting the health provision infrastructure in the country is key. Ensuring clinics still run and funds are in place can help to minimize the effects of access and migration. In addition, the government must be able to hand off some of the management to provincial or community levels, especially in rebel-held zones where they have limited access. So what are the takeaways from the Nepal case study?","In addition, the international organizations that responded by providing services kept a low profile.","According to Ms. Caproni, “In the ever-changing world of modern communications technologies, however, the FBI and other government agencies are facing a potentially widening gap between our legal authority to intercept electronics communications pursuant to court order and our hypothetical ability to actually intercept those communications.","atten"
